Tên sản phẩm,Giá bán,Giá vốn,Loại sản phẩm,Đơn vị tính,Danh mục sản phẩm,Thuế,,,,,,
Hộp Quà Tết Phú Quý (Trà Sen - Cà phê Robusta - Dâu Tây Sấy Giòn),380000,365000,Storable Product,Túi,Trà,10%,,,,,,
Cà Phê Arabica Cầu Đất - Túi 250 g (dạng bột),150000,135000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Robusta Lâm Đồng - Túi 250 g (dạng bột),110000,95000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Cầu Đất - Túi 250 g (dạng bột),120000,105000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Giấy Arabica Cầu Đất - Hộp 10 túi x 10 g,150000,135000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Giấy Robusta Lâm Đồng - Hộp 10 túi x 10 g,110000,95000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Arabica Cầu Đất - Túi 250 g (dạng hạt),150000,135000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Robusta Lâm Đồng - Túi 250 g (dạng hạt),110000,95000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Cầu Đất - Túi 250 g (dạng hạt),120000,105000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Giấy Arabica Cầu Đất - Túi 10 g,15000,0,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Giấy Robusta Lâm Đồng - Túi 10 g,11000,0,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Arabica Cầu Đất - Hộp 250 g (dạng bột),170000,155000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Robusta Lâm Đồng - Hộp 250 g (dạng bột),130000,115000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Cầu Đất - Hộp 250 g (dạng bột),140000,125000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Giấy Gu Người Việt - Hộp 10 túi x 10 g,120000,105000,Storable Product,Túi,Cà phê,10%,,,,,,
Cà Phê Phin Giấy Gu Người Việt - Túi 10 g,12000,0,Storable Product,Túi,Cà phê,10%,,,,,,
Bột Matcha Trà Xanh - Túi 110 g,150000,145000,Storable Product,Túi,Bột,10%,,,,,,
Bột Matcha Trà Xanh - Hộp 110 g,170000,165000,Storable Product,Túi,Bột,10%,,,,,,
